name,website,short_description,linkedin,categories,num_employees_enum,locations,founded_on,operating_status,founders
trüHealthNow,https://medicalaccessmd.com,"TrüHealthNow formerly Medical Access provides primary care, occupational health, and physical therapy.",https://www.linkedin.com/company/medical-access,"Emergency Medicine, Health Care, Hospital, Medical, Primary and Urgent Care",c_00101_00250,"Washington DC Metro Area, East Coast, Southern US",1/1/1999,active,
tsaADVET,http://www.tsaadvet.com/,"Tsaadvet is a software that offers document management solutions such as integration strategies, searching extension & SMB'S technologies.",https://www.linkedin.com/company/tsaadvet-inc-/,"Content, Document Management, Software",c_00011_00050,"Great Lakes, Northeastern US",1/1/1989,active,
tsco,https://tsco.com,"Tsco provides Consulting Services that include Web marketing, project management, research, and analysis.",https://www.linkedin.com/in/semokaitis,"Consulting, Market Research, Marketing, Property Management",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",1/1/1993,active,
tsfGEO,https://www.tsfgeo.com/,"tsfGEO is a full-service consulting geotechnical engineering, construction materials testing and inspections engineering firm.",https://www.linkedin.com/company/tierrasouthflorida/,"Civil Engineering, Construction, Service Industry",c_00011_00050,"Greater Miami Area, East Coast, Southern US",1/1/2003,active,
ttg Talent Solutions,https://www.usattg.com,ttg Talent Solutions is a human resources company that provides job opportunities and advice.,https://www.linkedin.com/company/talent-ttg,"Human Resources, Recruiting, Staffing Agency",c_00011_00050,"Greater Miami Area, East Coast, Southern US",1/1/2016,active,
ttweak,https://www.ttweak.com,ttweak is multi-disciplinary communication and design firm.,https://www.linkedin.com/company/ttweak-llc/,"Advertising, Consulting, Video",c_00011_00050,"Greater Houston Area, Southern US",1/1/1998,active,
ttwick,http://www.ttwick.com,"ttwick is a search and knowledge discovery engine for social and self-published contents, local daily deals, and news summaries.",http://www.linkedin.com/company/ttwick,"Advertising, Big Data, Content, Search Engine",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2012,active,Luis M Sanchez
ttynow,http://www.ttynow.com,Multimedia Rich Group Communication,,Public Relations,c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2011,active,Vikaas Sharma
tuCloud,http://www.tucloud.com,tuCloud provides cloud computing products.,https://www.linkedin.com/company/tucloud/,Cloud Computing,,"Greater Los Angeles Area, West Coast, Western US",1/1/2015,active,
tuLIPS Speech Therapy,https://www.tulipstherapy.com,"tuLIPS Speech Therapy provides speech, language, and feeding therapy services for children and adults.",https://www.linkedin.com/company/tulips-speech-therapy/,"Child Care, Health Care, mHealth, Speech Recognition, Therapeutics",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2008,active,
tulsakids,https://www.tulsakids.com,tulsakids is a monthly magazine that serves people ranging from physical and mental health to education to entertainment.,,"Content, Mental Health, News, Publishing",c_00001_00010,Southern US,,active,
tumaster,https://tumaster.com,"tumaster is a search engine for courses, careers and postgraduate courses",https://www.linkedin.com/company/tumaster.com/about/,"Education, Internet, Training, Tutoring",c_00011_00050,"East Coast, Southern US",1/1/2001,active,
tumblecloud,http://www.tumblecloud.com,Digital storytelling service,,"CRM, Information Technology, Internet",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",,active,
tumtumcar company,http://www.tumtumcar.com,Microcar quadricycle manufacturer based in Arizona USA,,"Manufacturing, Renewable Energy, Solar",c_00001_00010,"Greater Phoenix Area, Western US",8/14/1997,active,
tuneteams,http://tuneteams.com/,"tuneteams is a music business marketplace, an auctions platform for B2B music licensing and a free music industry professional network.",https://www.linkedin.com/company/tuneteams,"Digital Entertainment, E-Commerce, Independent Music, Internet, Music, Online Auctions, Professional Networking, Publishing",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",5/30/2014,active,"Cesar Gutierrez, Ian Henderson"
tunl,https://tunl.com,tunl is an integrated payments platform.,https://www.linkedin.com/company/tunlpaymentgateway,"Banking, Financial Services, Transaction Processing",c_00011_00050,"Greater San Diego Area, West Coast, Western US",1/1/2001,active,
turboSMTP,https://serversmtp.com,turboSMTP is a professional SMTP service that drives transactional and promotional emails.,http://www.linkedin.com/company/turbo-smtp,"Email, Information Technology, Messaging, Spam Filtering",c_00011_00050,"Greater San Diego Area, West Coast, Western US",1/1/2008,active,
turn 2 creative,https://www.turn2creative.com,"Turn 2 offers photography, web design and branding.",https://www.linkedin.com/company/turn-2-creative,"Photo Editing, Photography, Web Design",c_00001_00010,"Great Lakes, Midwestern US",1/1/2014,active,Boone Caughey
turnKey Taxes,http://www.turnkeytaxes.com/,"turnKey Taxes provides tax review, analysis & revenue information services to municipalities manage information tools and support services.",https://www.linkedin.com/company/turnkey-taxes/,Software,c_00001_00010,"Great Lakes, Northeastern US",1/1/2012,active,
turntable.fm,http://turntable.fm,Turntable.fm brings the social value of music to the digital music experience by letting people experience and discover music together.,https://www.linkedin.com/company/turntable-fm,"Music, Social Media",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",5/1/2011,active,"Billy Chasen, Seth Goldstein, Seth Goldstein"
turq.io,https://turq.io,"Turq funds, enables, and pipelines state & local signature ready Legislation created by everyday people.",https://www.linkedin.com/company/65012423,"CivicTech, Information Technology",c_00001_00010,"Greater Boston Area, East Coast, New England, Northeastern US",3/13/2020,active,
tuuk,https://tuuk.me,"tuuk is a financial services company that provides APIs, SDKs, and documentation tools.",https://www.linkedin.com/company/tuukllc/,"Financial Services, FinTech, Insurance, InsurTech, Mobile, PaaS, Software",c_00001_00010,Southern US,11/9/2017,active,Jeff Reckseidler
tuuktukk,http://tuuktukk.com/,tuuktukk is a 3 wheeler motorized vehicle company,,Animation,,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2011,active,
tuuthfairy,http://www.tuuthfairy.com,Accessible Dental Insurance APIs,https://www.linkedin.com/company/tuuthfairy/,"Dental, Health Care, Payments, Scheduling",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2015,active,"Greg Choi, Ryan Lee, Shilya Lee"
tv.adpost123.com,http://www.tv.adpost123.com,LIVE TAMIL TV CHANNEL asianet news asian,,"Digital Media, News, Video",c_00001_00010,"Greater Chicago Area, Great Lakes, Midwestern US",1/1/2006,active,
tvCompass,http://www.tvcompass.com,tvCompass provides software and services for mobile internet devices that focus on enhancing its customers’ TV-viewing experience.,,"Broadcasting, Information Technology, Internet, Mobile, Software, Telecommunications",c_00011_00050,"Greater Chicago Area, Great Lakes, Midwestern US",1/1/1998,active,
tvScientific,http://tvscientific.com,TvScientific is a CTV platform offering a hands-on solution that combines direct media buying with measurement and attribution.,https://www.linkedin.com/company/tvscientific/,"Advertising, Internet",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",9/1/2020,active,"David Koye, Jason Fairchild, Kent Wakeford, William T Gross"
tvsdesign,http://tvsdesign.com,tvsdesign is an architecture & planning company that offers designing and architectural services.,https://www.linkedin.com/in/tvsdesign,Consulting,c_00101_00250,"Greater Atlanta Area, East Coast, Southern US",1/1/1968,active,
tw-Security,https://www.tw-security.com/history,tw-Security helps healthcare organizations protect their information resources with experience in creating.,https://www.linkedin.com/company/tw-security-llc,Security,c_00001_00010,Midwestern US,1/1/2003,active,Tom Walsh
tweetTV,http://www.tweet.tv,tweetTV is a social media platform that provides its users with a real-time TV guide.,,"Apps, Social Media",c_00001_00010,Southern US,11/1/2011,active,Bradley Markham
twelveNYC,https://twelvenyc.com,twelveNYC is a consumer goods firm. They believe in the power of partnership and hold a unique responsibility.,https://www.linkedin.com/company/twelvenyc/,"Consumer Goods, Manufacturing, Product Design, Professional Services",c_00051_00100,"Greater New York Area, East Coast, Northeastern US",1/1/2005,active,
twenseventeen,https://twenseventeen.com,"Twenseventeen is on SoundCloud and discovers followers Stream tracks, albums, playlists on desktop and mobile.",,"Audiobooks, Internet, Mobile Apps, Music",c_00011_00050,Southern US,,active,
twenty,https://www.twenty.team/,"twenty is a coaching & community platform for young adults navigating their twenties, personally and professionally.",https://www.linkedin.com/company/twentyteam/,"EdTech, Education",c_00051_00100,"San Francisco Bay Area, West Coast, Western US",6/1/2022,active,Katie Kirsch
twenty2 wallpaper + textiles,https://twenty2.net,"twenty2 wallpaper + textiles is detail-oriented, design-focused maker and printer of digital wallpaper and custom textiles.",https://www.linkedin.com/company/twenty2-wallpaper,"Consumer Goods, Information Technology, Printing, Small and Medium Businesses",c_00011_00050,"East Coast, New England, Northeastern US",1/1/2001,active,"Kyra Hartnett, Robertson Hartnett"
twentyonegrains,https://twentyonegrains.com/,New York healthy food restaurant,https://www.linkedin.com/company/twentyonegrains,,,"Greater New York Area, East Coast, Northeastern US",1/1/2021,active,
twentysix New York,http://www.26ny.com,twentysix New York is a business and technology consultancy platform specializing in business intelligence and custom application solutions.,https://www.linkedin.com/company/tallan,"Consulting, Information Technology, Legal, Software",c_00011_00050,"East Coast, New England, Northeastern US",1/1/1997,active,
twentytwenty Insurance Services,https://twentytwentyins.com,twentytwenty is an employee benefits brokerage and consulting firm that specializes in crafting employee benefit programs for employers.,https://www.linkedin.com/company/twentytwenty-insurance-services,"Consulting, Employee Benefits, Insurance",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",1/1/2001,active,Sima Reid
twentytwo & brand,https://www.twentytwoandbrand.com,"Twentytwo & Brand offers branding, marketing, and communications for the renewable energy sector.",https://www.linkedin.com/company/twentytwo-brand,"Advertising, Brand Marketing, Marketing",c_00011_00050,"East Coast, Southern US",1/1/2018,active,
twiceasnice Recruiting,https://twonice.com/,twiceasnice Recruiting is a direct placement agency.,https://www.linkedin.com/company/twiceasnice-recruiting/,"Career Planning, Human Resources, Professional Services, Recruiting",c_00051_00100,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2017,active,
twig+fish research practice,http://www.twigandfish.com/,twig+fish research practice is a human-centered research and strategy practice.,https://www.linkedin.com/company/twigandfish/,,c_00001_00010,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2014,active,
twigBIG,https://twigbig.com/,"B2B SaaS platform that effortlessly provides UGC, AI and AR Solutions for eCommerce with a focus on beauty and fashion brands.",https://www.linkedin.com/company/twigbig/,"Artificial Intelligence (AI), Augmented Reality, Beauty, Content Creators, E-Commerce, Fashion, Generative AI, Machine Learning, SaaS",c_00001_00010,"Greater Philadelphia Area, East Coast, Southern US",1/4/2021,active,Oubai Al Hendi
twiine,https://www.twiine.com,twiine is a next generation dating planning app.,https://www.linkedin.com/company/twiine,"Apps, Media and Entertainment, Mobile Apps, Software",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",1/1/2020,active,
twinRed,https://twinred.bandcamp.com,"TwinRed is a music band created by André Förster, Alex Licznerski, Moritz Schumacher, Timo Brockmann, and Thilo Schnittger.",,"Digital Entertainment, Music, Social Media",c_00051_00100,"San Francisco Bay Area, West Coast, Western US",1/1/2008,active,
twine,https://www.twine.us/,"Twine is a platform for deep networking, designed for virtual events and remote teams.",https://www.linkedin.com/company/wearegathering/,"Event Management, Marketing Automation, Software",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2019,active,Diana Tsai
twirl,http://twirl-app.com/,Crowd sourcing styles by advertising unique looks live in the street.,,"Advertising, E-Commerce, E-Commerce Platforms, Fashion, Mobile Apps",c_00001_00010,"West Coast, Western US",9/1/2017,active,
two*,http://twofurnish.com,Two Furnish is a Swedish furniture company based in San Francisco.,https://www.linkedin.com/company/two-furnish,"E-Commerce, Internet, Retail",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",1/1/2015,active,"Brian Buhl, Brian Wilson"
twoPLUGS,https://www.twoplugs.com,"A marketplace where users sell services they are good at, earn some points, and use to buy a service they need ALL without using money",https://www.linkedin.com/company/twoplugs,"Marketplace, Service Industry, Shopping",c_00001_00010,Great Lakes,9/1/2015,active,Tye Alli
twoRivers Solutions,https://tworivers.yahoosites.com,twoRivers Solutions is an information technology staffing and consulting firm.,,"Consulting, Employment, Staffing Agency",c_00001_00010,Midwestern US,1/1/2009,active,
twocents-io,https://twocents.io/,"twocents-io is a model driven business network and toolset that is changing the game, for the better.",https://www.linkedin.com/company/twocents-io,"Apps, Information Technology, Professional Networking, Software",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2021,active,Matthew O'Meara
txtmeQuick.com,https://txtmeQuick.com,A Full Stack Telecommunication Company,https://www.linkedin.com/company/txtmequick-com,Messaging,c_00101_00250,"San Francisco Bay Area, West Coast, Western US",1/2/2014,active,"Herman Pippin, Ray Bolouri"
txtsignal,https://txtsignal.com/,"txtsignal is an established, powerful, fully-compliant text messaging platform for corporate communications & marketing.",https://www.linkedin.com/showcase/txtsignal/about/,"Advertising, Information and Communications Technology (ICT), Information Technology, Marketing, Messaging, Mobile Advertising, SaaS, SMS",c_00011_00050,"East Coast, Southern US",1/1/2004,active,
tyGraph,https://www.tygraph.com,tyGraph is build intelligent tools for better collaboration. ,https://www.linkedin.com/company/tygraph,"Information Technology, Software",,Great Lakes,1/1/2007,active,
tychon,https://www.tychon.app,We help Shopify Stores increase their sales through shoppable images.,https://www.linkedin.com/company/tychonapp/,"Advertising, E-Commerce, Software",c_00001_00010,"Greater Philadelphia Area, East Coast, Southern US",1/6/2021,active,"Darwin Feveck, Kevin Blake-Thomas, Rawle Annandsingh"
tyntec,http://www.tyntec.com,tyntec develops technology solutions that focus on telecommunication to connect brands with their customers.,http://www.linkedin.com/company/tyntec,"Messaging, Mobile, SMS, Telecommunications, VoIP",c_00101_00250,"San Francisco Bay Area, West Coast, Western US",1/1/2002,active,"Ralph Kunz, Thorsten Trapp"
type:social,https://www.typesocial.com,Type Social specializes in bespoke event and hospitality services for corporate and private clients.,https://www.linkedin.com/company/type-social/,"Consulting, Events, Hospitality",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",1/1/2006,active,
typicl.ai,https://typicl.ai/,typicl.ai is revolutionizing the digital art and photo editing landscape with its AI-powered image generation platform.,https://www.linkedin.com/company/typiclai/,"Apps, Artificial Intelligence (AI), Software",c_00001_00010,"Great Lakes, Midwestern US",7/11/2023,active,Chokha Palayamkottai
tökr,https://www.trytokr.com/,Delivering a personalized cannabis experience,https://www.linkedin.com/company/t%C3%B6kr/,"Cannabis, Software",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",1/1/2016,active,"Brian Campbell, Matthew Singer"
u3fit,https://www.u3fit.com,"U3Fit is fitness nutrition and life coaching method that helps you reach your fitness goals by working with your body, mind, and spirit.",https://www.linkedin.com/company/u3fit,"Fitness, Health Care, Wellness",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2013,active,LaWanda Dickerson
uAccept,https://uaccept.com/,UAccept is an affordable cloud connected point of sale system for businesses.,,"Cloud Infrastructure, Payments, Point of Sale, Software, Transaction Processing",,"Greater San Diego Area, West Coast, Western US",,active,
uAdventure Travel,https://uadventuretravel.com,"uAdventure Travel is a travel agency that provides packages, group travel, destination weddings, corporate travel, and planning services.",https://www.linkedin.com/company/uadventure-travel/,"Adventure Travel, Travel, Travel Agency",c_00051_00100,Midwestern US,1/1/2014,active,
uAttend,https://uattend.com/,"uAttend is a mobile app that allows online time tracking, and web-based time.",https://www.linkedin.com/company/uattend/,"Information Technology, Mobile Apps, Software, Virtual Workforce",c_00011_00050,"Greater San Diego Area, West Coast, Western US",10/30/2011,active,
uAvionix,http://www.uavionix.com/,"uAvionix develops the world’s smallest, lightest and most affordable ADS-B transponder, Ping.",https://www.linkedin.com/company/µavionix-corporation,"Aerospace, Hardware, National Security, Robotics",c_00011_00050,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2014,active,Paul Beard
uB-mobile,https://ub-mobile.com,"uB-mobile is a mobile market research and technology company that specializes in mobile technologies such as SMS, WAP, and audio.",https://www.linkedin.com/company/ubmobile-inc-,"Audio, Information Technology, Market Research, Mobile",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",1/1/2013,active,
uBack,http://www.ubackforgood.com/,uBack offers a mobile application that is focused to connect supporters with nonprofit campaigns.,https://www.linkedin.com/company/uback,"Charity, Mobile Apps, Non Profit",c_00001_00010,"Greater Chicago Area, Great Lakes, Midwestern US",10/1/2014,active,"Kaitlin Hayes Reimann, Melissa Bodford"
uBays,https://ubays.net,uBays is an e-commerce platform that sells consumer goods.,,"Consumer Electronics, Consumer Goods, E-Commerce, Sales",c_00011_00050,"Greater Los Angeles Area, West Coast, Western US",,active,
uBegin,http://www.ubegin.com,"A platform for purpose-driven people to connect, collaborate and together get good sh#t done.",https://www.linkedin.com/company/ubegin,"Collaboration, Communities, Crowdsourcing, Impact Investing, Social Entrepreneurship",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",1/1/2013,active,Cameron Cross
uBreakiFix,https://www.ubreakifix.com,"uBreakiFix is an international electronics repair franchise that operates in the US, Canada and Puerto Rico.",http://www.linkedin.com/company/ubreakifix,"Consumer Electronics, Electronics, Enterprise, Franchise, Service Industry",c_05001_10000,"East Coast, Southern US",6/3/2009,active,"David Reiff, Eddie Trujillo, Justin Wetherill"
uBriks,https://www.ubriks.com,We decentralize access to real estate investment,https://www.linkedin.com/company/ubriks/,"Mobile Apps, Real Estate, Real Estate Investment",c_00001_00010,"Greater Miami Area, East Coast, Southern US",9/1/2022,active,"Alexis Muñoz, Enrique Carvajal, Sophie Moldenhauer"
uBump,https://shop.ubump.co/,"uBump aims to make the exchange of contact information contactless, and fun.",https://www.linkedin.com/company/ubump,"Computer, Hardware",c_00001_00010,"Research Triangle, East Coast, Southern US",1/1/2020,active,
uCalc,https://ucalc.com/,uCalc Software develops innovative components for other software developers as well as applications for end-users.,https://www.linkedin.com/company/ucalc-software/about/,Software,c_00001_00010,"East Coast, Southern US",,active,
uCampaign,http://www.ucampaign.co,Our platform makes it easy to launch powerful iOS/Android apps to engage supporters.,https://www.linkedin.com/company/ucampaign/,"Internet, Mobile Advertising, Mobile Apps, Politics, SaaS",c_00001_00010,"Washington DC Metro Area, Southern US",7/1/2013,active,Thomas Peters
uCarenet,https://www.ucarenet.com/,uCarenet is a HealthTech social enterprise that helps seniors and palliative patients at home.,https://www.linkedin.com/company/ucarenet/,"Fitness, Health Care, Information Technology, Wellness",c_00001_00010,Great Lakes,1/1/2015,active,Nectarios Charitakis
uCast,https://ucast.xyz,uCast is a hosting platform that provides anyone with the opportunity to monetize their Podcast.,https://www.linkedin.com/company/ucastmedia/,"Information Services, Information Technology, Web Hosting",c_00001_00010,Great Lakes,,active,"Daniel Martinovic, Rand Abou Ras"
uCertify,https://www.ucertify.com/,uCertify is a provider of IT skill assessment and certification exam preparation.,https://www.linkedin.com/company/ucertify-com/,"Developer Platform, E-Learning, EdTech",c_00101_00250,"San Francisco Bay Area, West Coast, Western US",1/1/2004,active,Manish Gupta
uCollabit,https://www.ucollabit.com/,uCollabit is a mobile application that focuses on connecting creative minds.,https://www.linkedin.com/company/ucollabit,"Mobile, Mobile Apps, Social Media",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",,active,
uCompares,https://ucompares.com,"uCompares provides Tech News and Reviews of leading Advertising, IT, Marketing, Software, Tech Products, and business services companies.",https://www.linkedin.com/company/ucompares/,"Advertising, Information Technology",c_00051_00100,"Greater Philadelphia Area, East Coast, Northeastern US",3/5/2017,active,Ammad Ali
uConfirm,https://www.uconfirm.com,"uConfirm provides outsourcing, income and employment verification services.",https://www.linkedin.com/company/uconfirm/,"Employment, Outsourcing, Professional Services",c_00251_00500,"Greater Atlanta Area, East Coast, Southern US",1/1/2005,active,
uConnect,http://gouconnect.com,The first all-in-one virtual career center for higher education,http://www.linkedin.com/company/uconnect-inc-,"Association, Career Planning, E-Learning, EdTech, Education, Higher Education, Internet",c_00011_00050,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2011,active,David Kozhuk
uConnect Telecom,https://utcom.co,"uConnect Telecom offers telecommunications services, including structured cabling systems and data center organization.",https://www.linkedin.com/company/uconnect-telecom,"Consulting, Outsourcing, Security, Telecommunications",c_00011_00050,"Greater Miami Area, East Coast, Southern US",1/1/2012,active,
uCool Inc,http://www.ucool.com,uCool Inc is a U.S.-based independent game development company that focusses on developing strategy-based online games.,https://www.linkedin.com/company/ucool,"Software, Video Games",c_00501_01000,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2012,active,David Guo
uCredit,https://ucredit.me,uCredit is an online portal that offers academic planning services for students.,https://www.linkedin.com/company/ucredit-jhu,"E-Learning, EdTech, Education",c_00011_00050,"Greater Baltimore-Maryland Area, East Coast, Southern US",1/1/2020,active,
uCribs,http://www.ucribs.com,uCribs offers an online platform that enables university students to find apartments near their campuses.,https://www.linkedin.com/company/3086232/,"Marketplace, Real Estate",c_00001_00010,Southern US,1/1/2012,active,
uCruiser.com,http://www.ucruiser.com,Cruise ship reviews and cruise community,,Travel,c_00001_00010,"East Coast, Southern US",1/25/2008,active,
uCustoms,https://ucustoms.org,"uCustoms specializes in logistics, customs clearance, freight forwarding, trade advisory, cargo carriage, and warehousing solutions.",https://www.linkedin.com/company/ucustoms-organization,"Logistics, Transportation, Warehousing",c_00011_00050,Great Lakes,1/1/2021,active,
uDecor,https://www.udecor.com,"uDecor provides a team of designers, manufacturers and suppliers of architectural décor.",https://www.linkedin.com/company/udecor-inc.,"Building Material, Construction, Home Decor, Interior Design",c_00011_00050,Southern US,1/1/1998,active,"James Welch, Robert Robert"
uDirect IRA Services,https://udirectira.com,"uDirect IRA Services provides Self-Directed IRAs so you can invest in real estate, notes, precious metals and more.",https://www.linkedin.com/company/udirect-ira-services,"Finance, Financial Services, Real Estate",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",8/1/2009,active,
uDiscover Music,https://www.udiscovermusic.com/,"uDiscover Music is an online platform that offers music news, playlists, merchandise, videos, reviews, and quizzes about all types of music.",,"Advertising Platforms, Media and Entertainment, Music, Retail",c_00011_00050,"East Coast, Southern US",1/1/2016,active,
uDiscover Virtual School,https://ud.school/,uDiscover Virtual School provides flexible learning opportunities and bilingual education to children.,https://www.linkedin.com/company/udiscoverschool/,"E-Learning, EdTech, Education",c_00011_00050,"Greater New York Area, East Coast, Northeastern US",1/1/2020,active,
uDroppy,http://udroppy.com/,A marketplace that links the “creator economy” of micro businesses and individuals with suppliers who can drop ship merchandise on demand,https://www.linkedin.com/company/udroppy/,"E-Commerce, Marketplace, SaaS, Software",c_00011_00050,"San Francisco Bay Area, West Coast, Western US",3/1/2018,active,"Carlo Bellati, Luca Borreani, Nicolò Augusto Manica, Orlando Vallelonga"
uExamS,https://uexams.com,uExamS offers innovative training and testing support solutions around the globe.,https://www.linkedin.com/company/uexams/,"Education, Management Consulting, Training",c_01001_05000,"Greater Boston Area, East Coast, New England, Northeastern US",1/1/2007,active,
uFab,https://u-fab.co/,uFab is revolutionizing circuit board manufacturing with its patent pending technology.,https://www.linkedin.com/company/ufab-corporation,"3D Printing, Consulting, Consumer Electronics, Electronics, Hardware, Manufacturing",c_00001_00010,Midwestern US,9/13/2022,active,Tyler Richards
uFinancial Group,http://ufinancialgroup.com,"uFinancial Group is a financial services company offering insurance, retirement, and investment services.",https://www.linkedin.com/company/ufinancial-group/,"Banking, Crowdfunding, Financial Services",c_00251_00500,"Great Lakes, Northeastern US",1890-01-01,active,
uFlavor,http://www.uflavor.com,uFlavor is a network of connected fountain machines where you can tweak any flavor or make your own.,,"Digital Media, Tea, Water",c_00001_00010,"Great Lakes, Midwestern US",12/8/2011,active,
uGRIDD,http://www.ugridd.com/,uGRIDD is a web-based service provider that offers its customers geo-referencing for their infrastructure data.,https://www.linkedin.com/company-beta/2753269/,"Analytics, Information Technology, Internet, Location Based Services, Mapping Services",c_00011_00050,"Greater Chicago Area, Great Lakes, Midwestern US",1/1/2012,active,
uGenius Technology,http://www.ugenius.com,uGenius Technology is a Utah-based FinTech company that offers personal transaction technologies.,https://www.linkedin.com/company/ugenius-technology/about/,"Banking, FinTech, Video",c_00101_00250,Western US,1/1/2007,active,Gene Pranger
uGospel.com,https://ugospel.com/,uGospel.com is an online portal that provides social media news related to music and faith based community.,,"Music, News, Social Media",c_00001_00010,"Greater Philadelphia Area, Great Lakes, Northeastern US",,active,
uGuru Data Sciences,https://www.ugurudatasciences.com/,UGuru Data Sciences offers online tools and solutions to manage data from healthcare operations.,https://www.linkedin.com/company/uguru-data-sciences/,"Data Management, Health Care, Software",,"Greater Seattle Area, West Coast, Western US",1/1/2017,active,"David Delafield, Howard Mahran"
uGurus,http://www.ugurus.com,UGurus is a website that offers advice and resources for web professionals to level up their business.,https://www.linkedin.com/company/ugurus,"Digital Media, E-Commerce, Education",c_00001_00010,"Greater Denver Area, Western US",11/1/2012,active,
uHAPS Media,http://www.uhaps.com,Event Photo Covergage & Promotion,https://www.linkedin.com/company/proud-eagle-inc.,"Advertising, Craft Beer, Hospitality, Photography",c_00011_00050,Southern US,1/1/2008,active,
uHoo Real Estate,https://uhoo.com,uHoo Real Estate is a real estate marketplace that connects consumers and real estate professionals.,https://www.linkedin.com/company/uhoocom/,"Marketplace, Real Estate, Real Estate Brokerage",c_00001_00010,"West Coast, Western US",1/1/2017,active,
uHype Inc,http://www.uhype.net,"uHype is a app-based platform that is exclusive to High School teenagers to share moments through time-limited videos, pictures and chat.",,"Apps, Video Chat",,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",11/1/2014,active,Dean Foster
uInteractive,http://www.uinteractive.com,Uinteractive is a marketing agency.,https://www.linkedin.com/company/uinteractive/,"Advertising, Marketing",c_00001_00010,"Greater Los Angeles Area, West Coast, Western US",1/1/2017,active,
"uInterview, Inc",http://uinterview.com,"Comprised of uInterview.com, uSports.org, uInterviewTV and the uInterview Pre-roll Marketplace",https://www.linkedin.com/company/uinterview-inc-,"Advertising, E-Commerce, Marketing, Marketplace, Video, Video Streaming",c_00001_00010,"Greater New York Area, East Coast, Northeastern US",9/1/2008,active,
uKERA,https://www.ukerausa.com,uKERA is a manufacturer and supplier of vaporization solutions for electronic cannabis delivery systems.,https://www.linkedin.com/company/ukera-usa,"Electronics, Hardware, Manufacturing",c_01001_05000,"Greater Los Angeles Area, West Coast, Western US",1/1/2007,active,
uKnow.com,http://www.uKnow.com,uKnow technology powers smart tools that connect and protect digital families,http://www.linkedin.com/company/uknow-com-inc,"Identity Management, Location Based Services, Mobile, Privacy, Reputation, Security, Social Media Management",c_00011_00050,"Washington DC Metro Area, East Coast, Southern US",6/1/2009,active,"Ashish Khot, Steven Woda, Tim Woda"
uLab,http://www.ulab.co,"uLab is a usability testing, and user research company.",https://www.linkedin.com/company/ulab---participatory-design-associates/,"Information Services, Information Technology, UX Design",c_00001_00010,"San Francisco Bay Area, West Coast, Western US",1/1/2000,active,
uLawPractice,https://www.ulaw.io,uLawPractice is a cloud-based practice management solution.,https://www.linkedin.com/company/2380872,"Legal, Software",c_00001_00010,Great Lakes,1/1/2010,active,
uLink Labs,https://ulink-labs.com,uLink Labs is a medical device company that specializes in next-generation medical devices innovations.,,"Biotechnology, Medical, Medical Device, Therapeutics",c_00001_00010,"San Francisco Bay Area, Silicon Valley, West Coast, Western US",1/1/2019,active,
"uLogica, LLC",http://www.ulogica.com,"Specializing in the commercialization of innovative technologies that deliver health, social and/or environmental benefits.",https://www.linkedin.com/company/ulogica,"Agriculture, Bioinformatics, Biopharma, Biotechnology, Business Development, CleanTech, Impact Investing, Life Science, Nanotechnology, Pharmaceutical",c_00011_00050,"Dallas/Fort Worth Metroplex, Southern US",7/6/2015,active,Dominic Brown
uLouder,http://www.ulouder.com/,uLouder is a local platform which connects end-users to self determined geographical radius to seek information or publish announcements.,https://www.linkedin.com/company/ulouder/,"Information Technology, Location Based Services",c_00011_00050,"Greater Philadelphia Area, East Coast, Southern US",8/17/2016,active,"Can Poyrazoğlu, Demirhan Erim"
